Player Number,Player,GP,GS,Minutes TOT,Minutes AVG,FG FGM,FG FGA,FG FG%,3PT,3PT 3PTA,3PT 3PT%,FT FTM,FT FTA,FT FT%,Scoring PTS,Scoring AVG,Rebounds OFF,Rebounds DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
01,D'yona Davis,23,17.0,468,20.3,78,195,0.4,21,62,0.339,28,52,0.538,205,8.9,18,50,68,3.0,37,26,61,29,2
22,Courtney Warley,31,31.0,998,32.2,104,239,0.435,2,5,0.4,56,91,0.615,266,8.6,120,162,282,9.1,85,40,59,64,55
05,Lynette Taitt,28,19.0,695,24.8,94,239,0.393,5,27,0.185,40,59,0.678,233,8.3,33,71,104,3.7,64,72,74,52,5
02,Gabby Cajou,7,7.0,197,28.1,21,59,0.356,2,18,0.111,13,18,0.722,57,8.1,6,13,19,2.7,13,21,14,17,2
15,Sydney Watkins,25,19.0,581,23.2,55,173,0.318,44,139,0.317,1,2,0.5,155,6.2,4,34,38,1.5,27,11,23,10,1
00,Kania Pollock,31,7.0,525,16.9,75,231,0.325,12,61,0.197,27,53,0.509,189,6.1,14,62,76,2.5,54,30,67,18,4
14,Candela Abejón,13,12.0,269,20.7,27,75,0.36,16,46,0.348,6,12,0.5,76,5.8,3,17,20,1.5,33,9,24,8,7
12,Julie Høier,31,4.0,651,21.0,54,143,0.378,3,25,0.12,34,53,0.642,145,4.7,52,109,161,5.2,43,36,52,11,20
13,Lizahya Morgan,31,10.0,517,16.7,44,173,0.254,24,79,0.304,14,25,0.56,126,4.1,16,23,39,1.3,45,39,65,29,0
25,Pamela Miceus,30,17.0,410,13.7,43,104,0.413,0,0,0.0,8,14,0.571,94,3.1,40,67,107,3.6,55,17,22,13,27
24,Tuuli Menna,27,11.0,369,13.7,26,84,0.31,1,8,0.125,10,14,0.714,63,2.3,38,45,83,3.1,47,12,27,9,3
10,Sini Mäkelä,31,1.0,479,15.5,20,76,0.263,13,53,0.245,8,9,0.889,61,2.0,3,50,53,1.7,25,20,23,16,6
21,Diamond Shavis,2,0.0,7,3.5,1,1,1.0,0,0,0.0,0,0,0.0,2,1.0,0,0,0,0.0,0,0,0,0,0
20,Nyala Pendergrass,20,0.0,59,3.0,2,10,0.2,0,2,0.0,1,2,0.5,5,0.3,3,4,7,0.4,4,2,3,2,0
