Player Number,Player,GP,GS,Minutes TOT,Minutes AVG,FG FGM,FG FGA,FG FG%,3PT,3PT 3PTA,3PT 3PT%,FT FTM,FT FTA,FT FT%,Scoring PTS,Scoring AVG,Rebounds OFF,Rebounds DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
21,Mayson Kimball,15,15.0,478,31.9,76,214,0.355,20,67,0.299,29,46,0.63,201,13.4,31,57,88,5.9,41,25,46,22,1
10,Kate Mager,15,15.0,557,37.1,56,125,0.448,38,92,0.413,35,36,0.972,185,12.3,7,53,60,4.0,20,26,28,16,2
00,Alyssa Casey,15,5.0,276,18.4,60,122,0.492,10,36,0.278,9,12,0.75,139,9.3,20,42,62,4.1,35,10,17,14,8
01,Jayme DeCesare,15,15.0,518,34.5,39,128,0.305,22,72,0.306,28,33,0.848,128,8.5,7,63,70,4.7,22,47,31,14,3
02,Diamond Christian ,15,14.0,393,26.2,40,93,0.43,17,35,0.486,11,17,0.647,108,7.2,18,32,50,3.3,32,30,37,27,1
12,Alana Fursman,15,5.0,258,17.2,33,67,0.493,11,25,0.44,8,13,0.615,85,5.7,12,19,31,2.1,33,12,22,14,2
32,Autumn Truesdale ,15,6.0,266,17.7,19,63,0.302,0,4,0.0,9,17,0.529,47,3.1,20,54,74,4.9,34,12,25,6,5
20,Teneisia Brown,14,0.0,103,7.4,18,40,0.45,0,0,0.0,8,16,0.5,44,3.1,16,20,36,2.6,21,0,10,10,3
13,Nadeshka Bridgewater,10,0.0,88,8.8,8,17,0.471,0,0,0.0,7,12,0.583,23,2.3,5,11,16,1.6,20,15,23,12,1
05,Kaylee Thomas ,14,0.0,79,5.6,2,16,0.125,0,7,0.0,6,8,0.75,10,0.7,2,7,9,0.6,7,10,10,1,1
22,Grace Clary,1,0.0,2,2.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,1,0,0,0,0
25,Cassandra Hawthorne,1,0.0,2,2.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,1,1,0,0,0
