Player Number,Player,GP,GS,Minutes TOT,Minutes AVG,FG FGM,FG FGA,FG FG%,3PT,3PT 3PTA,3PT 3PT%,FT FTM,FT FTA,FT FT%,Scoring PTS,Scoring AVG,Rebounds OFF,Rebounds DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
23,Callie Cavanaugh,30,30.0,1037,34.6,194,462,0.42,2,7,0.286,90,134,0.672,480,16.0,79,86,165,5.5,64,45,94,22,7
03,Janelle Brown,29,28.0,805,27.8,115,277,0.415,35,93,0.376,76,105,0.724,341,11.8,36,143,179,6.2,106,77,114,68,7
10,Izabela Nicoletti Leite,27,24.0,866,32.1,78,254,0.307,41,144,0.285,32,48,0.667,229,8.5,11,124,135,5.0,52,79,76,38,4
02,Mimi Rubino,30,11.0,768,25.6,79,239,0.331,29,112,0.259,27,53,0.509,214,7.1,26,51,77,2.6,53,44,63,22,1
41,Andrea Hernangomez,21,20.0,613,29.2,48,135,0.356,14,41,0.341,24,35,0.686,134,6.4,39,97,136,6.5,45,55,70,43,1
12,Kate Peek,17,6.0,241,14.2,34,82,0.415,33,80,0.413,1,2,0.5,102,6.0,1,7,8,0.5,20,6,6,11,1
15,Lauren Beach,29,22.0,844,29.1,43,119,0.361,12,59,0.203,21,41,0.512,119,4.1,41,83,124,4.3,68,30,44,30,9
25,MacKenzie Daleba,21,2.0,228,10.9,32,73,0.438,0,0,0.0,9,26,0.346,73,3.5,38,39,77,3.7,26,17,26,2,3
33,Brooke Tatarian,20,0.0,257,12.9,20,44,0.455,4,10,0.4,11,16,0.688,55,2.8,14,24,38,1.9,23,8,10,3,0
42,MacKenzie Martin,27,6.0,348,12.9,12,37,0.324,3,14,0.214,1,2,0.5,28,1.0,13,21,34,1.3,21,21,15,9,0
22,Jocelyn Polansky,17,1.0,97,5.7,6,17,0.353,1,10,0.1,1,1,1.0,14,0.8,1,7,8,0.5,14,1,9,3,1
01,Anna Eng,13,0.0,50,3.8,2,7,0.286,2,6,0.333,2,2,1.0,8,0.6,2,7,9,0.7,3,2,5,3,1
34,Dayna Tirado,7,0.0,21,3.0,0,5,0.0,0,0,0.0,0,2,0.0,0,0.0,0,0,0,0.0,3,0,4,0,1
