college,season,player_number_ind,player_ind,gp_ind,gs_ind,minutes_tot_ind,scoring_pts_ind,rebounds_tot_ind,ast_ind,stl_ind,blk_ind,to_ind,pts_per40,reb_per40,ast_per40,stl_per40,blk_per40,to_per40,eFG_pct,TS_pct,USG_pct,ORB_pct,DRB_pct,AST_pct,AST_per_TO,3pt_3pt_pct_ind,three_per40,threeA_per40,three_per100,threeA_rate,DRCR,STL_TO_ratio,def_stops_per100,DPMR,TUSG_pct,Gravity,PPT,Spacing,Assist_to_Usage,APC,PEF,OEFF,TOV_pct,SEM,PEI,BoxCreation,OLI,IPM,threeA_per100,2pt_pct,FTr,PPP,possessions,scoring_pts_per100,ast_per100,rebounds_tot_per100,stl_per100,blk_per100,to_per100,mins_per_game,pts_per_game,ast_per_game,reb_per_game,stl_per_game,blk_per_game,to_per_game,scoring_pts_share,ast_share,rebounds_tot_share,stl_share,blk_share,to_share,team_TS_pct,TS_diff,ast_per_fgm,tov_rate,game_score,game_score_per40,min_share,player_id
manhattan,2017-18,35,Kayla Grimme,31,30.0,951,460,263,36,25,56,71,19.348054679284964,11.062039957939012,1.5141955835962144,1.0515247108307044,2.355415352260778,2.9863301787592005,0.4571428571428571,0.4994788047255038,145.5955982228436,13.38199513381995,28.977272727272727,33.64485981308411,0.5070422535211268,0.257,1.0935856992639328,4.248159831756047,4.891999698953865,0.2404761904761904,14.69270166453265,0.352112676056338,169.24886969149614,0.0041353337734036,0.0516219291746819,17.487889173185003,0.0075224665675475,4.883909084067133,0.231084304147337,1.103251294105272,17.059365539028562,0.1628485780764706,0.7880139461082973,0.0244678308746227,0.1632025967244629,370.3831149129084,39.232378544011866,0.1001112926329256,19.00353729209001,0.3883248730964467,0.219047619047619,1.0952380952380951,531.48,86.55076390456837,6.77353804470535,49.484458493264086,4.703845864378716,10.536614736208325,13.358922254835552,30.677419354838708,14.838709677419354,1.1612903225806452,8.483870967741936,0.8064516129032258,1.8064516129032255,2.290322580645161,0.253025302530253,0.0857142857142857,0.2419503219871205,0.0909090909090909,0.495575221238938,0.1434343434343434,0.475010973850881,0.0244678308746227,0.2011173184357542,0.1335892225483555,395.4,16.630914826498422,4.698167330677292,476
manhattan,2017-18,15,Amani Tatum,31,31.0,1041,399,125,137,83,2,96,15.331412103746398,4.803073967339097,5.26416906820365,3.1892411143131607,0.0768491834774255,3.6887608069164255,0.5044910179640718,0.532738731040376,117.74223426468428,3.523035230352304,20.88607594936709,58.798283261802574,1.4270833333333333,0.394,2.728146013448607,6.9164265129683,15.09097092331236,0.5389221556886228,29.80617088607595,0.8645833333333334,116.33146545730835,0.0046692707540318,0.0609800224296955,33.804349475942466,0.0101459827430979,15.073967012412853,0.4993813701191577,4.198484091456174,83.91005007153075,0.1802563420522172,0.714391984724866,0.0577277571894949,0.2606714520404244,342.7484397755384,87.90388762349471,0.1071932413122781,38.25879952389049,0.2357414448669201,0.2754491017964072,1.1946107784431137,470.48,84.80700561129059,29.11919741540554,26.568610780479503,17.641557558238393,0.4250977724876721,20.40469307940826,33.58064516129032,12.870967741935484,4.419354838709677,4.032258064516129,2.677419354838709,0.064516129032258,3.096774193548387,0.2194719471947194,0.3261904761904762,0.1149954001839926,0.3018181818181818,0.0176991150442477,0.1939393939393939,0.475010973850881,0.0577277571894949,1.0300751879699248,0.2040469307940826,323.29999999999995,12.42267050912584,5.142788844621514,51
manhattan,2017-18,2,Gabby Cajou,31,1.0,915,250,71,110,66,4,72,10.92896174863388,3.1038251366120218,4.808743169398907,2.8852459016393444,0.174863387978142,3.1475409836065578,0.5142857142857142,0.5408445829006576,86.30487621611378,2.5991792065663475,12.177985948477753,60.43956043956044,1.5277777777777777,0.296,0.6994535519125683,2.360655737704918,5.278437582475587,0.2571428571428571,18.60525631017434,0.9166666666666666,60.00707543035645,0.0049210188420078,0.0624904356634728,12.002792086130643,0.0137938446207454,5.273159144893111,0.7003028807455389,3.3710456208772204,92.33821733821732,0.2720888905558595,0.800753524463885,0.0658336090497765,0.4331655137649283,269.6768822765044,77.95752577008633,0.1290765460296457,17.81472684085511,0.4329896907216495,0.2285714285714285,1.1904761904761905,303.12,82.47558722618105,36.28925837951967,23.42306677223542,21.7735550277118,1.3196093956188968,23.75296912114014,29.516129032258064,8.064516129032258,3.548387096774193,2.290322580645161,2.129032258064516,0.1290322580645161,2.3225806451612905,0.1375137513751375,0.2619047619047619,0.0653173873045078,0.24,0.0353982300884955,0.1454545454545454,0.475010973850881,0.0658336090497765,1.1,0.2375296912114014,212.70000000000005,9.298360655737708,4.520318725099602,289
manhattan,2017-18,30,Mikki Guiton,30,11.0,478,144,69,8,10,3,28,12.05020920502092,5.7740585774058575,0.6694560669456067,0.8368200836820083,0.2510460251046025,2.3430962343096238,0.4166666666666667,0.4435682602267127,103.72856461508442,3.523035230352304,10.287081339712918,22.22222222222222,0.2857142857142857,0.1,0.0836820083682008,0.8368200836820083,0.5254308532997058,0.0666666666666666,2.9391660970608333,0.3571428571428571,26.4089742986378,0.003151205336041,0.0822140924110853,3.067379929475144,0.0092549232799386,0.5254308532997057,0.2142343351837654,0.2533391860538032,6.349206349206349,0.3975516966143372,0.8399214203200739,-0.0314427136241683,0.3644223885631424,234.25694153703336,24.251952585119795,0.1505941953893676,5.254308532997057,0.4093959731543624,0.1866666666666666,0.96,190.32,75.66204287515762,4.203446826397647,36.254728877679696,5.254308532997057,1.576292559899117,14.71206389239176,15.933333333333334,4.8,0.2666666666666666,2.3,0.3333333333333333,0.1,0.9333333333333332,0.0792079207920792,0.019047619047619,0.0634774609015639,0.0363636363636363,0.0265486725663716,0.0565656565656565,0.475010973850881,-0.0314427136241683,0.1290322580645161,0.1471206389239176,71.99999999999999,6.025104602510459,2.285258964143426,643
manhattan,2017-18,14,Taylor Williams,30,23.0,664,120,89,29,20,0,30,7.228915662650603,5.36144578313253,1.7469879518072289,1.2048192771084336,0.0,1.8072289156626504,0.3793103448275862,0.3946329913180742,71.4234103612537,2.73224043715847,15.54054054054054,49.15254237288136,0.9666666666666668,0.268,1.5662650602409638,5.843373493975904,14.282575258185016,0.6689655172413793,15.022522522522522,0.6666666666666666,39.276596352450014,0.0027217302946726,0.0868026966837164,18.855484867979232,0.0115870424954544,14.280377938914524,0.6881852216579926,0.9183545494450368,47.51412429378532,0.3621158783428987,0.3599990465777165,-0.0803779825328068,0.4466095832895752,156.86073511605193,85.74400327324801,0.1149952462342998,53.28499230938255,0.134453781512605,0.1103448275862069,0.8275862068965517,182.04,65.91957811470007,15.930564711052517,48.89035376840255,10.986596352450013,0.0,16.47989452867502,22.133333333333333,4.0,0.9666666666666668,2.966666666666667,0.6666666666666666,0.0,1.0,0.066006600660066,0.069047619047619,0.0818767249310027,0.0727272727272727,0.0,0.0606060606060606,0.475010973850881,-0.0803779825328068,0.6904761904761905,0.1647989452867501,90.7,5.463855421686747,3.1745019920318724,836
manhattan,2017-18,23,Alex Smith,27,0.0,182,107,47,2,6,8,26,23.51648351648352,10.32967032967033,0.4395604395604396,1.3186813186813189,1.7582417582417584,5.7142857142857135,0.5287356321839081,0.52698975571316,182.53609350659968,2.997275204359673,6.25,7.142857142857143,0.0769230769230769,0.0,0.0,0.0,0.0,0.0,0.4807692307692308,0.2307692307692307,18.94867001254705,0.0205289216278227,0.2322572434104544,0.0,0.0067377632909031,0.0,0.0391312020232692,0.0703719961260564,0.5494505494505495,0.6580018816220823,0.9936214641423428,0.0519787818622789,0.5227117751203457,482.5416380597513,22.12423657681824,0.4179477757866466,0.0,0.5287356321839081,0.3793103448275862,1.2298850574712643,127.52,83.90840652446676,1.5683814303638646,36.85696361355082,4.705144291091594,6.273525721455458,20.38895859473024,6.7407407407407405,3.962962962962963,0.074074074074074,1.7407407407407407,0.2222222222222222,0.2962962962962963,0.9629629629629628,0.0588558855885588,0.0047619047619047,0.0432382704691812,0.0218181818181818,0.0707964601769911,0.0525252525252525,0.475010973850881,0.0519787818622789,0.0434782608695652,0.2038895859473024,58.6,12.879120879120878,0.7831075697211155,28
manhattan,2017-18,22,Courtney Warley,31,21.0,692,121,143,23,21,29,43,6.994219653179191,8.265895953757225,1.329479768786127,1.213872832369942,1.676300578034682,2.485549132947977,0.4285714285714285,0.4986811737553577,61.86231493406012,7.049608355091384,19.18103448275862,34.84848484848485,0.5348837209302325,0.0,0.0,0.0578034682080924,0.0,0.010204081632653,10.259623095429028,0.4883720930232558,61.946708189235466,0.0050536269170369,0.0635362140155772,0.3147915492095989,0.0199587370643941,0.0,0.5633232324460861,0.7048549934561461,18.639887244538407,0.4481304877704362,0.9806931659349072,0.0236701999044767,0.4592411610209428,168.2449379832001,41.01205850207659,0.1327946015897353,0.6085686465433301,0.4285714285714285,0.5408163265306123,1.2346938775510203,164.32,73.63680623174295,13.997078870496594,87.02531645569621,12.77994157740993,17.648490749756572,26.1684518013632,22.32258064516129,3.903225806451613,0.7419354838709677,4.612903225806452,0.6774193548387096,0.935483870967742,1.3870967741935485,0.0665566556655665,0.0547619047619047,0.1315547378104875,0.0763636363636363,0.2566371681415929,0.0868686868686868,0.475010973850881,0.0236701999044767,0.5476190476190477,0.2616845180136319,142.6,8.242774566473988,3.418645418326693,201
manhattan,2017-18,13,Lizahya Morgan,23,12.0,301,68,29,34,14,0,41,9.03654485049834,3.853820598006645,4.51827242524917,1.8604651162790695,0.0,5.4485049833887045,0.3620689655172414,0.3737906772207564,114.21355434941404,1.1111111111111112,5.303030303030303,45.333333333333336,0.8292682926829268,0.243,1.196013289036545,4.916943521594685,6.820248560169749,0.425287356321839,4.397634885439763,0.3414634146341463,17.607154325920618,0.0092714208452445,0.1644941282551102,18.156351582047293,0.0068434007804109,6.81342831160958,0.3969172452638363,1.4043802705156485,37.59349593495935,0.390502902349434,0.5934775925749733,-0.1012202966301246,0.5455555253411212,239.22519258981592,84.91972154571397,0.1888219361457206,28.03879963625341,0.2307692307692307,0.1034482758620689,0.7816091954022989,131.95999999999998,51.53076689906033,25.76538344953017,21.97635647165808,10.609275538041832,0.0,31.07002121855108,13.08695652173913,2.9565217391304346,1.4782608695652173,1.2608695652173914,0.6086956521739131,0.0,1.7826086956521738,0.0374037403740374,0.0809523809523809,0.0266789328426862,0.0509090909090909,0.0,0.0828282828282828,0.475010973850881,-0.1012202966301246,1.2592592592592593,0.3107002121855108,18.79999999999999,2.4983388704318923,1.1032669322709163,555
manhattan,2017-18,5,Lynette Taitt,24,14.0,276,47,39,16,16,2,26,6.811594202898551,5.652173913043478,2.318840579710145,2.318840579710145,0.2898550724637681,3.768115942028986,0.4051724137931034,0.3991168478260869,80.1194804982257,1.793103448275862,6.483790523690773,38.095238095238095,0.6153846153846154,0.417,0.7246376811594203,1.7391304347826086,5.89066918001885,0.2068965517241379,3.990024937655861,0.6153846153846154,26.70985044457659,0.0136525939928586,0.1589706844209646,6.615938173637686,0.0101142034547031,5.895381715362865,0.4754802839900952,0.633347965134508,23.443223443223445,0.6523596108456773,0.6475266352938629,-0.0758941260247941,0.7356395611664021,178.73531390563772,63.63439955799669,0.2347730385234673,14.13760603204524,0.3018867924528302,0.0344827586206896,0.8103448275862069,84.88,55.3722902921772,18.85014137606032,45.94721960414703,18.85014137606032,2.35626767200754,30.631479736098026,11.5,1.9583333333333333,0.6666666666666666,1.625,0.6666666666666666,0.0833333333333333,1.0833333333333333,0.0258525852585258,0.0380952380952381,0.0358785648574057,0.0581818181818181,0.0176991150442477,0.0525252525252525,0.475010973850881,-0.0758941260247941,0.7619047619047619,0.3063147973609802,23.500000000000007,3.4057971014492767,1.0556175298804782,567
manhattan,2017-18,10,Sini Mäkelä,31,11.0,364,57,38,15,7,2,14,6.263736263736264,4.175824175824176,1.6483516483516485,0.7692307692307693,0.2197802197802198,1.5384615384615383,0.3197674418604651,0.3280386740331492,72.20138453946744,0.0,9.20096852300242,51.72413793103448,1.0714285714285714,0.221,1.868131868131868,8.461538461538462,16.851704996034893,0.8953488372093024,9.858180560359736,0.5,18.20342792625861,0.0037736988286438,0.1694899182310908,21.20619972641512,0.0091797492541798,16.86855670103093,0.7163869653897131,0.45968803921053,55.41871921182266,0.5600988300352123,0.1549725944195606,-0.1469722998177318,0.7173195542556229,133.2933837055117,105.08556959223948,0.1824602785578686,76.32831086439334,0.0289855072463768,0.0232558139534883,0.6627906976744186,100.88,56.50277557494052,14.869151467089612,37.66851704996035,6.9389373513084855,1.9825535289452816,13.877874702616973,11.741935483870968,1.8387096774193548,0.4838709677419355,1.2258064516129032,0.2258064516129032,0.064516129032258,0.4516129032258064,0.0313531353135313,0.0357142857142857,0.0349586016559337,0.0254545454545454,0.0176991150442477,0.0282828282828282,0.475010973850881,-0.1469722998177318,0.7894736842105263,0.1387787470261697,25.0,2.7472527472527477,1.7982470119521914,801
