#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,TO,STL,BLK,Bio Link
#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,TO,STL,BLK,Bio Link
01,"Davis, Dee Dee  01 Davis, Dee Dee",32,32.0,1009,31.5,214,540,0.396,45,149,0.302,124,191,0.649,597,18.7,25,120,145,4.5,63,102,123,59,2,View Bio
03,"Harvey-Carr, Brazil  03 Harvey-Carr, Brazil",31,30.0,946,30.5,146,392,0.372,47,175,0.269,40,52,0.769,379,12.2,54,161,215,6.9,88,78,118,63,10,View Bio
22,"Warley, Courtney  22 Warley, Courtney",30,30.0,1048,34.9,118,272,0.434,0,3,0.0,99,123,0.805,335,11.2,108,208,316,10.5,69,56,55,50,29,View Bio
33,"Jordan, Jenna  33 Jordan, Jenna",29,19.0,662,22.8,74,146,0.507,0,12,0.0,31,48,0.646,179,6.2,57,96,153,5.3,51,25,42,10,7,View Bio
25,"Juric, Petra  25 Juric, Petra",24,18.0,482,20.1,66,110,0.6,2,6,0.333,9,19,0.474,143,6.0,62,58,120,5.0,37,9,27,12,19,View Bio
20,"Blagrove, Jade  20 Blagrove, Jade",32,19.0,694,21.7,51,131,0.389,4,18,0.222,58,76,0.763,164,5.1,61,83,144,4.5,83,24,62,20,16,View Bio
11,"LaPointe, Emily  11 LaPointe, Emily",24,8.0,522,21.8,37,109,0.339,3,33,0.091,14,23,0.609,91,3.8,28,41,69,2.9,28,45,45,13,7,View Bio
15,"Watkins, Sydney  15 Watkins, Sydney",29,2.0,283,9.8,32,98,0.327,30,83,0.361,0,0,0.0,94,3.2,0,16,16,0.6,12,8,12,5,0,View Bio
05,"Nascimento, Bella  05 Nascimento, Bella",30,0.0,277,9.2,34,102,0.333,12,33,0.364,5,6,0.833,85,2.8,2,22,24,0.8,23,18,27,6,4,View Bio
10,"Mäkelä, Sini  10 Mäkelä, Sini",31,1.0,261,8.4,12,38,0.316,1,7,0.143,12,12,1.0,37,1.2,6,31,37,1.2,17,17,22,8,4,View Bio
24,"Wilson, Becca  24 Wilson, Becca",12,0.0,58,4.8,3,13,0.231,0,0,0.0,0,0,0.0,6,0.5,7,7,14,1.2,8,0,4,2,2,View Bio
21,"Katsamouri, Christina  21 Katsamouri, Christina",20,1.0,105,5.3,3,10,0.3,0,0,0.0,0,0,0.0,6,0.3,7,8,15,0.8,9,2,9,3,2,View Bio
13,"Galunic, Helena  13 Galunic, Helena",10,0.0,21,2.1,1,3,0.333,0,0,0.0,0,0,0.0,2,0.2,2,1,3,0.3,3,0,2,2,0,View Bio
12,"Bailey, Nia  12 Bailey, Nia",8,0.0,20,2.5,0,4,0.0,0,0,0.0,0,0,0.0,0,0.0,2,1,3,0.4,2,2,5,0,0,View Bio
14,"Drozd, Lindsay  14 Drozd, Lindsay",6,0.0,10,1.7,0,4,0.0,0,4,0.0,0,0,0.0,0,0.0,0,2,2,0.3,3,0,1,0,0,View Bio
04,"Lee, Jessica  04 Lee, Jessica",2,0.0,2,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,View Bio
TM,Team  TM Team,32,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,54,67,121,3.8,0,0,23,0,0,
,Total,32,,6400,200.0,791,1972,0.401,144,523,0.275,392,550,0.713,2118,66.19,475,922,1397,43.7,496,386,577,253,102,
,Opponents,32,,6450,201.6,725,1937,0.374,239,765,0.312,272,396,0.687,1961,61.28,314,757,1071,33.5,551,410,522,279,92,
