Player Number,Player,GP,GS,Minutes TOT,Minutes AVG,FG FGM,FG FGA,FG FG%,3PT,3PT 3PTA,3PT 3PT%,FT FTM,FT FTA,FT FT%,Scoring PTS,Scoring AVG,Rebounds OFF,Rebounds DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
24,Makayla Firebaugh,31,31.0,1072,34.6,154,432,0.356,64,225,0.284,72,95,0.758,444,14.3,28,117,145,4.7,73,60,98,32,9
13,Raphaela Toussaint,28,28.0,854,30.5,128,296,0.432,19,75,0.253,69,82,0.841,344,12.3,46,117,163,5.8,80,22,53,21,15
44,Victoria Toomey,31,31.0,859,27.7,115,217,0.53,0,0,0.0,50,65,0.769,280,9.0,44,96,140,4.5,105,56,82,25,34
55,Jessika Schiffer,31,30.0,997,32.2,91,259,0.351,59,178,0.331,15,15,1.0,256,8.3,6,56,62,2.0,55,47,60,28,3
03,Amanda Mobley,31,31.0,1098,35.4,74,170,0.435,27,83,0.325,39,57,0.684,214,6.9,11,116,127,4.1,65,195,115,49,14
02,ToniRenee Blanford,13,0.0,200,15.4,27,47,0.574,1,1,1.0,19,33,0.576,74,5.7,18,27,45,3.5,27,4,23,5,4
31,Emily Strunk,21,0.0,184,8.8,25,53,0.472,5,12,0.417,13,18,0.722,68,3.2,11,23,34,1.6,13,10,7,2,7
05,Maya Hyacienth,31,1.0,349,11.3,24,72,0.333,14,34,0.412,9,18,0.5,71,2.3,7,37,44,1.4,33,10,28,7,3
10,Molly Lynch,31,1.0,477,15.4,20,61,0.328,14,42,0.333,6,10,0.6,60,1.9,9,49,58,1.9,20,41,45,16,3
14,Sofie Bruintjes,21,2.0,171,8.1,9,26,0.346,3,11,0.273,8,10,0.8,29,1.4,7,18,25,1.2,12,6,12,2,4
12,Daja Wentz,10,0.0,31,3.1,2,8,0.25,1,2,0.5,0,0,0.0,5,0.5,1,2,3,0.3,4,0,2,2,0
32,Madison Johnson,12,0.0,33,2.8,1,3,0.333,0,1,0.0,1,2,0.5,3,0.3,1,2,3,0.3,2,3,1,3,0
