#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,TO,STL,BLK,Bio Link
#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,TO,STL,BLK,Bio Link
11,"Parker, Angel  11 Parker, Angel",11,11.0,376,34.2,60,154,0.39,10,34,0.294,38,63,0.603,168,15.3,13,60,73,6.6,26,64,60,30,2,View Bio
20,"Haar, Ally  20 Haar, Ally",11,11.0,402,36.5,41,138,0.297,27,95,0.284,30,36,0.833,139,12.6,4,15,19,1.7,18,23,37,5,0,View Bio
14,"Yelle, Maddy  14 Yelle, Maddy",11,10.0,348,31.6,41,91,0.451,4,19,0.211,14,20,0.7,100,9.1,25,24,49,4.5,38,16,35,16,0,View Bio
12,"Mason, Olivia  12 Mason, Olivia",11,11.0,305,27.7,39,81,0.481,0,2,0.0,16,20,0.8,94,8.5,29,33,62,5.6,38,13,19,31,0,View Bio
30,"Faulcon, Sydney  30 Faulcon, Sydney",11,0.0,213,19.4,28,61,0.459,0,0,0.0,20,27,0.741,76,6.9,28,30,58,5.3,29,4,15,4,4,View Bio
00,"Pepic, Valentina  00 Pepic, Valentina",11,11.0,221,20.1,24,65,0.369,0,2,0.0,5,6,0.833,53,4.8,12,28,40,3.6,16,8,13,8,2,View Bio
02,"Jones, Brooklyn  02 Jones, Brooklyn",10,1.0,142,14.2,9,25,0.36,5,17,0.294,2,2,1.0,25,2.5,1,11,12,1.2,6,5,14,10,0,View Bio
23,"Grimshaw, Kyra  23 Grimshaw, Kyra",9,0.0,78,8.7,6,16,0.375,0,4,0.0,4,4,1.0,16,1.8,2,6,8,0.9,5,2,10,1,0,View Bio
25,"Glover, Saige  25 Glover, Saige",10,0.0,81,8.1,5,9,0.556,0,0,0.0,3,6,0.5,13,1.3,8,15,23,2.3,17,2,14,4,3,View Bio
21,"Porter, Lore  21 Porter, Lore",6,0.0,57,9.5,2,12,0.167,2,10,0.2,0,0,0.0,6,1.0,2,7,9,1.5,9,2,2,3,0,View Bio
15,"Halloran, Aubrey  15 Halloran, Aubrey",1,0.0,2,2.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,1,1,1.0,2,0,1,0,0,View Bio
TM,Team  TM Team,11,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,18,28,46,4.2,0,0,12,0,0,
,Total,11,,2225,202.3,255,652,0.391,48,183,0.262,132,184,0.717,690,62.73,142,258,400,36.4,204,139,232,112,11,
,Opponents,11,,2225,202.3,284,664,0.428,61,204,0.299,125,183,0.683,754,68.55,138,271,409,37.2,185,172,212,108,33,
