Player Number,Player,GP,GS,Minutes TOT,Minutes AVG,FG FGM,FG FGA,FG FG%,3PT,3PT 3PTA,3PT 3PT%,FT FTM,FT FTA,FT FT%,Scoring PTS,Scoring AVG,Rebounds OFF,Rebounds DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
20,Zaria Shazer,30,30.0,1035,34.5,171,431,0.397,1,6,0.167,137,180,0.761,480,16.0,62,149,211,7.0,72,67,66,53,27
03,Kiara Fisher,30,29.0,980,32.7,139,347,0.401,43,131,0.328,92,115,0.8,413,13.8,14,84,98,3.3,37,102,114,53,5
33,Kendall Krick,26,25.0,856,32.9,89,246,0.362,38,118,0.322,48,73,0.658,264,10.2,23,78,101,3.9,46,44,44,43,1
01,Maeve Donnelly,21,21.0,369,17.6,37,105,0.352,0,3,0.0,19,28,0.679,93,4.4,26,62,88,4.2,40,10,24,8,37
13,Julianna Bonilla,30,27.0,724,24.1,38,133,0.286,27,93,0.29,11,18,0.611,114,3.8,19,89,108,3.6,40,53,56,27,8
02,Jackie Piddock,30,2.0,506,16.9,28,84,0.333,10,36,0.278,27,36,0.75,93,3.1,13,38,51,1.7,32,22,42,10,1
32,Samantha Bailey,30,5.0,534,17.8,29,99,0.293,6,51,0.118,23,33,0.697,87,2.9,20,50,70,2.3,34,18,26,11,2
30,Morgan Tompkins,30,7.0,398,13.3,25,77,0.325,4,20,0.2,25,34,0.735,79,2.6,22,39,61,2.0,26,16,29,13,10
25,Catie Cunningham,28,4.0,347,12.4,25,65,0.385,4,8,0.5,10,11,0.909,64,2.3,21,57,78,2.8,23,10,9,7,7
22,Ciara Croker,27,0.0,176,6.5,9,32,0.281,0,0,0.0,6,11,0.545,24,0.9,13,17,30,1.1,21,2,12,3,6
14,Erin Fox,15,0.0,71,4.7,5,25,0.2,0,10,0.0,3,5,0.6,13,0.9,5,10,15,1.0,8,3,1,0,2
42,McKenna Rife,7,0.0,19,2.7,1,5,0.2,0,0,0.0,3,4,0.75,5,0.7,1,0,1,0.1,1,0,0,0,0
24,Samantha Chadwick,2,0.0,5,2.5,0,3,0.0,0,2,0.0,0,0,0.0,0,0.0,0,2,2,1.0,1,1,1,0,0
04,Jayne Whitman,2,0.0,5,2.5,0,1,0.0,0,1,0.0,0,0,0.0,0,0.0,0,0,0,0.0,1,0,0,0,0
