Player Number,Player,GP,GS,Minutes TOT,Minutes AVG,FG FGM,FG FGA,FG FG%,3PT,3PT 3PTA,3PT 3PT%,FT FTM,FT FTA,FT FT%,Scoring PTS,Scoring AVG,Rebounds OFF,Rebounds DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
35,Kayla Grimme,30,30.0,936,31.2,175,369,0.474,22,50,0.44,67,85,0.788,439,14.6,78,153,231,7.7,85,26,76,21,60
15,Amani Tatum,24,24.0,750,31.3,84,240,0.35,20,80,0.25,51,73,0.699,239,10.0,29,58,87,3.6,77,117,93,73,6
30,Mikki Guiton,29,17.0,606,20.9,85,159,0.535,1,1,1.0,19,31,0.613,190,6.6,35,64,99,3.4,72,18,42,11,12
32,Nyasha Irizarry,30,20.0,696,23.2,61,168,0.363,41,126,0.325,10,18,0.556,173,5.8,17,68,85,2.8,40,48,46,22,5
31,Maeve Parahus,30,13.0,632,21.1,50,163,0.307,40,124,0.323,15,19,0.789,155,5.2,8,43,51,1.7,40,19,15,11,4
02,Gabby Cajou,30,15.0,723,24.1,54,142,0.38,11,50,0.22,29,46,0.63,148,4.9,17,42,59,2.0,65,67,73,34,5
14,Taylor Williams,27,11.0,595,22.0,44,146,0.301,22,84,0.262,19,28,0.679,129,4.8,26,73,99,3.7,34,36,52,16,2
12,Julie Høier,19,12.0,353,18.6,21,59,0.356,6,20,0.3,11,18,0.611,59,3.1,15,39,54,2.8,36,22,25,5,7
03,KellyAnne O'Reilly,28,2.0,304,10.9,23,99,0.232,14,68,0.206,9,11,0.818,69,2.5,12,25,37,1.3,28,12,17,8,1
23,Nicole Anderson,27,6.0,272,10.1,11,38,0.289,2,7,0.286,4,6,0.667,28,1.0,8,29,37,1.4,29,23,24,14,3
04,Emma Bedeker,3,0.0,7,2.3,0,0,0.0,0,0,0.0,2,2,1.0,2,0.7,0,0,0,0.0,0,0,0,1,0
10,Sheridan Heine,12,0.0,57,4.8,3,18,0.167,2,13,0.154,0,0,0.0,8,0.7,1,2,3,0.3,5,1,5,1,1
22,Morgan Graziano,19,0.0,69,3.6,4,8,0.5,0,0,0.0,1,2,0.5,9,0.5,7,10,17,0.9,4,2,4,3,2
