Player Number,Player,GP,GS,Minutes TOT,Minutes AVG,FG FGM,FG FGA,FG FG%,3PT,3PT 3PTA,3PT 3PT%,FT FTM,FT FTA,FT FT%,Scoring PTS,Scoring AVG,Rebounds OFF,Rebounds DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
05,Meghan Andersen,33,32.0,938,28.4,195,381,0.512,66,184,0.359,41,49,0.837,497,15.1,52,118,170,5.2,66,50,54,44,46
03,Janelle Brown,33,33.0,820,24.8,170,297,0.572,41,91,0.451,73,89,0.82,454,13.8,53,89,142,4.3,103,118,109,81,4
04,Kaety L’Amoreaux,32,25.0,864,27.0,106,299,0.355,58,188,0.309,54,73,0.74,324,10.1,33,99,132,4.1,61,85,79,52,2
23,Emina Selimovic,33,28.0,797,24.2,125,255,0.49,19,58,0.328,55,77,0.714,324,9.8,44,135,179,5.4,60,27,53,10,5
01,Kendall McGruder,31,16.0,687,22.2,91,225,0.404,58,157,0.369,10,15,0.667,250,8.1,16,48,64,2.1,60,69,64,18,0
11,Karly Fischer,30,1.0,306,10.2,44,79,0.557,0,0,0.0,19,35,0.543,107,3.6,32,40,72,2.4,68,16,43,7,8
25,MacKenzie Daleba,25,0.0,225,9.0,41,70,0.586,1,2,0.5,7,32,0.219,90,3.6,30,30,60,2.4,38,18,19,20,3
21,Nicole Gallagher,33,14.0,654,19.8,38,118,0.322,19,83,0.229,11,13,0.846,106,3.2,31,74,105,3.2,55,39,35,26,3
10,Izabela Nicoletti Leite,33,11.0,758,23.0,34,90,0.378,9,45,0.2,23,29,0.793,100,3.0,4,94,98,3.0,49,121,58,29,4
15,Lauren Beach,30,5.0,432,14.4,32,64,0.5,6,21,0.286,11,23,0.478,81,2.7,18,48,66,2.2,50,21,26,14,8
12,Kate Peek,15,0.0,96,6.4,6,24,0.25,6,24,0.25,11,12,0.917,29,1.9,1,1,2,0.1,5,1,2,1,0
22,Casey Prior,18,0.0,73,4.1,10,27,0.37,9,24,0.375,0,0,0.0,29,1.6,1,0,1,0.1,7,2,1,1,1
