#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,TO,STL,BLK,Bio Link
#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,TO,STL,BLK,Bio Link
22,"Haskell, Dani  22 Haskell, Dani",28,24.0,872,31.1,103,259,0.398,40,132,0.303,53,71,0.746,299,10.7,19,73,92,3.3,56,60,69,46,8,View Bio
04,"Garrelts, Vannessa  04 Garrelts, Vannessa",30,30.0,942,31.4,93,283,0.329,35,139,0.252,62,74,0.838,283,9.4,45,97,142,4.7,95,111,122,51,2,View Bio
24,"Stubbs, Cheyenne  24 Stubbs, Cheyenne",23,12.0,625,27.2,67,195,0.344,29,88,0.33,36,45,0.8,199,8.7,18,48,66,2.9,31,38,39,19,0,View Bio
14,"Eleko, Sisi  14 Eleko, Sisi",29,24.0,659,22.7,96,217,0.442,5,26,0.192,53,75,0.707,250,8.6,48,116,164,5.7,102,15,75,28,7,View Bio
05,"Lexa, Athina  05 Lexa, Athina",25,19.0,603,24.1,53,160,0.331,12,53,0.226,18,24,0.75,136,5.4,10,61,71,2.8,41,41,48,18,3,View Bio
20,"McCauley, Jane  20 McCauley, Jane",29,16.0,425,14.7,41,131,0.313,37,114,0.325,1,2,0.5,120,4.1,5,9,14,0.5,16,10,15,5,0,View Bio
34,"Chard Peloquin, Chloe  34 Chard Peloquin, Chloe",22,7.0,340,15.5,38,90,0.422,1,6,0.167,9,17,0.529,86,3.9,30,41,71,3.2,59,9,21,13,1,View Bio
00,"Thrash, Brooklyn  00 Thrash, Brooklyn",28,15.0,384,13.7,38,94,0.404,11,35,0.314,19,27,0.704,106,3.8,19,38,57,2.0,55,12,23,22,13,View Bio
02,"Gattozzi, Lydia  02 Gattozzi, Lydia",25,0.0,322,12.9,30,66,0.455,0,4,0.0,35,43,0.814,95,3.8,22,32,54,2.2,27,7,16,6,4,View Bio
10,"Hernandez-Boulden, Giana  10 Hernandez-Boulden, Giana",24,0.0,260,10.8,35,90,0.389,3,20,0.15,18,30,0.6,91,3.8,18,29,47,2.0,35,7,20,14,4,View Bio
21,"LaMora, Adrien  21 LaMora, Adrien",22,0.0,228,10.4,19,61,0.311,3,15,0.2,18,24,0.75,59,2.7,14,36,50,2.3,35,5,31,6,6,View Bio
15,"Páez, Èlia  15 Páez, Èlia",27,0.0,272,10.1,23,65,0.354,8,31,0.258,2,2,1.0,56,2.1,4,23,27,1.0,27,15,19,4,2,View Bio
33,"Porter, Rhay  33 Porter, Rhay",16,3.0,131,8.2,7,13,0.538,0,0,0.0,5,11,0.455,19,1.2,13,30,43,2.7,33,2,12,5,12,View Bio
13,"Karatasiou, Xanthippi 13 Karatasiou, Xanthippi",4,0.0,12,3.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,1,0,2,0,0,View Bio
TM,Team  TM Team,30,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,70,66,136,4.5,0,0,28,0,0,
,Total,30,,6075,202.5,643,1724,0.373,184,663,0.278,329,445,0.739,1799,59.97,335,699,1034,34.5,613,332,540,237,62,
,Opponents,30,,6075,202.5,701,1700,0.412,164,540,0.304,438,615,0.712,2004,66.8,364,776,1140,38.0,513,410,511,245,107,
