Player Number,Player,GP,GS,Minutes TOT,Minutes AVG,FG FGM,FG FGA,FG FG%,3PT,3PT 3PTA,3PT 3PT%,FT FTM,FT FTA,FT FT%,Scoring PTS,Scoring AVG,Rebounds OFF,Rebounds DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
04,Stella Johnson,32,32.0,1060,33.1,219,486,0.451,75,199,0.377,87,121,0.719,600,18.8,51,131,182,5.7,100,142,109,81,24
21,Lexi Posset,28,28.0,912,32.6,89,262,0.34,44,147,0.299,96,120,0.8,318,11.4,8,75,83,3.0,72,96,72,39,3
13,Lea Favre ,32,31.0,1035,32.3,143,262,0.546,0,0,0.0,54,73,0.74,340,10.6,65,99,164,5.1,81,26,52,21,19
31,Amari Johnson,32,31.0,942,29.4,117,379,0.309,34,142,0.239,53,79,0.671,321,10.0,50,172,222,6.9,76,45,87,44,27
11,Daija Moses,32,9.0,591,18.5,40,105,0.381,7,23,0.304,14,16,0.875,101,3.2,31,57,88,2.8,77,20,39,26,8
02,Mia Farmer,32,1.0,449,14.0,32,92,0.348,20,61,0.328,7,16,0.438,91,2.8,7,39,46,1.4,32,3,10,15,4
42,Tracey Goodman,28,0.0,273,9.8,24,59,0.407,8,26,0.308,4,7,0.571,60,2.1,13,37,50,1.8,44,11,22,7,5
03,Amanda Mobley,30,4.0,296,9.9,22,62,0.355,8,20,0.4,6,8,0.75,58,1.9,5,27,32,1.1,33,35,36,11,9
32,Aubre Johnson,32,23.0,542,16.9,21,71,0.296,0,2,0.0,8,15,0.533,50,1.6,36,71,107,3.3,84,29,35,18,19
15,Taylour Jones,12,1.0,46,3.8,7,15,0.467,2,8,0.25,0,4,0.0,16,1.3,2,4,6,0.5,5,4,5,2,0
22,Lexi Stover,24,0.0,228,9.5,9,42,0.214,6,33,0.182,1,2,0.5,25,1.0,2,10,12,0.5,20,9,11,1,2
23,Teresa Wolak,11,0.0,25,2.3,1,2,0.5,0,0,0.0,6,8,0.75,8,0.7,1,0,1,0.1,5,0,1,0,1
