#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,TO,STL,BLK,Bio Link
#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,TO,STL,BLK,Bio Link
42,"Bethea, Sajanna  42 Bethea, Sajanna",26,26.0,799,30.7,130,305,0.426,3,7,0.429,59,73,0.808,322,12.4,63,111,174,6.7,67,47,69,25,8,View Bio
42,"Bethea, Sajanna  42 Bethea, Sajanna",4,4.0,122,30.5,15,42,0.357,0,0,0.0,12,14,0.857,42,10.5,14,24,38,9.5,14,6,19,3,1,View Bio
15,"Hughes, Talah  15 Hughes, Talah",30,6.0,761,25.4,104,237,0.439,9,39,0.231,64,78,0.821,281,9.4,67,79,146,4.9,62,32,61,30,15,View Bio
14,"Mostafa, Hala  14 Mostafa, Hala",30,24.0,899,30.0,95,235,0.404,15,63,0.238,37,67,0.552,242,8.1,45,147,192,6.4,70,48,83,31,50,View Bio
01,"Sparks, Rebeccca  01 Sparks, Rebeccca",1,1.0,28,28.0,2,11,0.182,0,1,0.0,2,3,0.667,6,6.0,2,4,6,6.0,1,3,7,5,0,
04,"Senatus, Marcia  04 Senatus, Marcia",30,15.0,528,17.6,46,143,0.322,8,30,0.267,24,36,0.667,124,4.1,6,58,64,2.1,33,43,39,17,0,View Bio
50,"Whitfield, Bridget  50 Whitfield, Bridget",30,23.0,679,22.6,42,125,0.336,21,71,0.296,5,6,0.833,110,3.7,18,41,59,2.0,34,24,27,2,2,View Bio
25,"Mullen, Janelle  25 Mullen, Janelle",28,6.0,446,15.9,33,140,0.236,16,70,0.229,18,32,0.563,100,3.6,8,27,35,1.3,25,16,34,13,1,View Bio
01,"Sparks, Rebecca  01 Sparks, Rebecca",22,12.0,400,18.2,28,99,0.283,4,14,0.286,12,22,0.545,72,3.3,8,29,37,1.7,42,58,62,14,0,View Bio
23,"Velles, Alyssa  23 Velles, Alyssa",30,1.0,352,11.7,36,128,0.281,16,80,0.2,4,8,0.5,92,3.1,7,35,42,1.4,20,11,35,9,1,View Bio
21,"Meier, Samantha  21 Meier, Samantha",30,30.0,609,20.3,38,107,0.355,0,1,0.0,5,10,0.5,81,2.7,23,106,129,4.3,73,31,44,18,19,View Bio
00,"Spencer, Breana  00 Spencer, Breana",15,0.0,109,7.3,10,36,0.278,1,12,0.083,9,18,0.5,30,2.0,9,8,17,1.1,12,3,6,4,0,View Bio
45,"Ingram, Neechelle  45 Ingram, Neechelle",24,0.0,161,6.7,11,27,0.407,0,0,0.0,5,10,0.5,27,1.1,14,18,32,1.3,26,6,8,1,2,View Bio
24,"Martinez, Imani  24 Martinez, Imani",11,0.0,72,6.5,4,20,0.2,0,0,0.0,1,4,0.25,9,0.8,3,7,10,0.9,7,2,5,2,2,View Bio
03,"Mayfield, Janae  03 Mayfield, Janae",7,2.0,52,7.4,1,6,0.167,0,3,0.0,1,2,0.5,3,0.4,0,3,3,0.4,6,3,5,3,1,View Bio
01,"Sparks, Rbecca  01 Sparks, Rbecca",1,0.0,8,8.0,0,4,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,2,1,2,0,0,
TM,Team  TM Team,19,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,36,50,86,4.5,0,0,9,0,0,
,Total,30,,6025,200.8,595,1665,0.357,93,391,0.238,258,383,0.674,1541,51.37,323,747,1070,35.7,494,334,515,177,102,
,Opponents,30,,6025,200.8,694,1772,0.392,158,510,0.31,350,502,0.697,1896,63.2,358,772,1130,37.7,430,373,372,301,104,
